
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending April 6, 2013 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	179	260	770	5,093	5,313	18	23	46	315	396	59	293	383	3,109	3,950						
NEW ENGLAND	5	11	55	192	236	-	1	4	8	22	4	7	16	104	136						
Conn.	-	6	21	97	115	-	0	2	2	7	-	0	4	5	22						
Maine	2	2	8	37	30	-	0	1	2	1	-	0	5	-	5						
Mass.	-	0	4	5	16	-	0	3	3	10	3	6	13	81	78						
N.H.	1	1	5	28	33	-	0	1	1	3	-	0	4	7	11						
R.I.	1	0	29	1	22	-	0	0	-	1	1	0	4	9	19						
Vt.	1	1	6	24	20	-	0	0	-	-	-	0	2	2	1						
MID. ATLANTIC	-	35	63	554	780	-	2	5	30	37	12	35	55	430	488						
N.J.	-	2	17	7	219	-	0	3	-	11	-	3	8	27	56						
N.Y. (Upstate)	-	17	39	291	319	-	1	4	20	17	8	4	32	78	44						
N.Y. City	-	14	36	256	242	-	0	3	10	9	1	19	31	211	248						
Pa.	N	-	-	N	N	N	0	0	N	N	3	9	18	114	140						
E.N. CENTRAL	38	57	130	1,079	1,073	2	4	12	44	73	1	32	60	253	467						
Ill.	N	0	0	N	N	-	1	3	9	16	-	12	23	76	211						
Ind.	-	13	47	184	241	-	0	2	2	9	1	4	10	43	63						
Mich.	3	12	30	223	231	-	0	3	15	15	-	5	14	44	75						
Ohio	31	21	63	497	444	2	1	6	13	23	-	8	15	75	100						
Wis.	4	9	29	175	157	-	0	2	5	10	-	2	5	15	18						
W.N. CENTRAL	3	12	34	208	231	2	2	5	31	32	-	8	16	110	80						
Iowa	N	0	0	N	N	N	0	0	N	N	-	1	4	12	11						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	3	5	4						
Minn.	-	8	24	113	141	-	0	3	9	9	-	3	5	32	22						
Mo.	N	0	0	N	N	1	0	3	11	12	-	3	8	50	40						
Nebr.	-	1	7	50	57	-	0	1	5	4	-	0	2	7	2						
N. Dak.	-	0	4	2	3	-	0	1	2	-	-	0	1	1	1						
S. Dak.	3	2	6	43	30	1	0	1	4	7	-	0	2	3	-						
S. ATLANTIC	84	60	137	1,320	1,184	12	5	14	96	72	23	64	104	703	961						
Del.	1	0	3	10	17	-	0	1	-	-	-	0	5	6	19						
D.C.	-	1	7	24	19	-	0	1	-	1	-	3	8	56	58						
Fla.	34	18	59	463	368	5	1	6	36	26	3	25	36	296	376						
Ga.	25	18	56	418	320	3	2	6	30	15	5	11	31	95	181						
Md.	23	7	25	182	182	4	0	3	13	13	3	8	15	91	114						
N.C.	N	0	0	N	N	N	0	0	N	N	-	2	14	-	100						
S.C.	1	6	19	143	154	-	0	3	3	7	-	4	10	73	58						
Va.	N	0	0	N	N	-	0	5	10	7	12	4	40	86	52						
W. Va.	-	5	29	80	124	-	0	2	4	3	-	0	2	-	3						
