
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending April 13, 2013 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2013
Shigellosis cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012

tab delimited data:
test
UNITED STATES	83	264	405	1,706	3,218	-	3	13	19	34	2	54	229	88	327						
NEW ENGLAND	-	4	13	44	31	-	0	1	-	-	-	0	3	-	3						
Conn.	-	1	3	9	9	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	2	1	1	-	0	0	-	-	-	0	1	-	1						
Mass.	-	2	10	28	21	-	0	0	-	-	-	0	3	-	-						
N.H.	-	0	1	2	-	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	5	2	-	-	0	0	-	-	-	0	3	-	2						
Vt.	-	0	1	2	-	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	4	31	73	180	846	-	0	2	1	6	-	1	5	3	20						
N.J.	-	4	30	16	464	-	0	0	-	-	-	0	1	-	-						
N.Y. (Upstate)	-	13	37	66	142	-	0	1	-	1	-	0	3	-	2						
N.Y. City	3	8	20	83	199	-	0	0	-	-	-	0	3	1	5						
Pa.	1	2	7	15	41	-	0	2	1	5	-	0	4	2	13						
E.N. CENTRAL	32	40	116	465	348	-	0	2	-	1	-	3	18	8	25						
Ill.	-	5	17	11	41	-	0	1	-	-	-	1	12	2	12						
Ind.	-	1	17	11	20	-	0	1	-	1	-	1	5	5	6						
Mich.	7	4	14	50	73	-	0	1	-	-	-	0	1	-	-						
Ohio	24	28	103	380	197	-	0	0	-	-	-	0	3	1	3						
Wis.	1	2	18	13	17	-	0	0	-	-	-	0	3	-	4						
W.N. CENTRAL	1	8	32	55	83	-	0	6	-	2	-	5	33	1	51						
Iowa	-	1	11	15	4	-	0	0	-	-	-	0	1	1	2						
Kans.	1	2	6	8	49	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	1	7	14	25	-	0	5	-	2	-	5	33	-	49						
