
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending April 20, 2013 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012

tab delimited data:
test
UNITED STATES	-	13	66	18	56	3	20	68	29	211	-	2	19	4	16						
NEW ENGLAND	-	0	4	1	2	-	4	23	2	76	-	0	0	-	-						
Conn.	-	0	0	-	-	-	1	11	-	42	-	0	0	-	-						
Maine	-	0	1	-	-	-	0	4	-	7	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	1	1	-	-	1	5	1	12	-	0	0	-	-						
R.I.	-	0	3	-	2	-	1	11	1	14	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	2	-	1	-	0	0	-	-						
MID. ATLANTIC	-	0	5	2	4	3	5	17	8	26	-	0	2	-	2						
N.J.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
N.Y. (Upstate)	-	0	3	1	3	3	4	17	6	19	-	0	2	-	2						
N.Y. City	-	0	3	1	1	-	0	4	2	7	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
E.N. CENTRAL	-	0	5	1	6	-	7	42	12	96	-	1	14	4	12						
Ill.	-	0	4	-	2	-	0	1	1	4	-	0	1	-	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	1	7	2	3						
Mich.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	1						
Ohio	-	0	1	1	-	-	0	1	-	-	-	0	1	-	-						
Wis.	-	0	3	-	4	-	7	42	11	92	-	0	6	1	8						
W.N. CENTRAL	-	2	32	1	16	-	0	4	-	1	-	0	4	-	-						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	1	5	-	0	1	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	2	31	-	11	-	0	4	-	1	-	0	4	-	-						
Nebr.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	-	4	32	10	21	-	1	8	7	5	-	0	2	-	-						
Del.	-	0	2	-	2	-	0	1	-	-	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	2	5	-	0	2	1	-	-	0	0	-	-						
Ga.	-	0	3	6	1	-	0	1	1	2	-	0	1	-	-						
Md.	-	0	4	-	2	-	0	2	1	-	-	0	0	-	-						
N.C.	-	0	19	1	4	-	0	6	1	1	-	0	0	-	-						
S.C.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Va.	-	1	16	1	7	-	0	2	2	2	-	0	2	-	-						
W. Va.	-	0	0	-	-	-	0	1	1	-	-	0	1	-	-						
E.S. CENTRAL	-	1	9	2	4	-	0	3	-	5	-	0	1	-	2						
Ala.	-	0	1	-	-	-	0	3	-	2	-	0	1	-	2						
Ky.	-	0	4	1	-	-	0	1	-	-	-	0	0	-	-						
Miss.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
Tenn.	-	1	6	1	4	-	0	2	-	3	-	0	1	-	-						
W.S. CENTRAL	-	0	16	1	3	-	0	2	-	2	-	0	1	-	-						
Ark.	-	0	11	1	2	-	0	1	-	1	-	0	0	-	-						
La.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
Okla.	-	0	14	-	-	-	0	2	-	-	-	0	0	-	-						
Tex.	-	0	1	-	1	-	0	0	-	1	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	-	-	N	N	N	-	-	N	N	N	-	-	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


