
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending May 4, 2013 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2013
Shigellosis cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012

tab delimited data:
test
UNITED STATES	77	263	419	2,121	4,048	-	2	12	23	46	6	51	236	122	562						
NEW ENGLAND	-	4	13	49	38	-	0	1	-	-	-	0	3	-	4						
Conn.	-	1	3	13	11	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	2	1	1	-	0	0	-	-	-	0	1	-	2						
Mass.	-	2	10	28	26	-	0	0	-	-	-	0	3	-	-						
N.H.	-	0	1	2	-	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	5	3	-	-	0	0	-	-	-	0	3	-	2						
Vt.	-	0	1	2	-	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	6	33	73	221	973	-	0	1	1	2	-	2	12	7	59						
N.J.	-	7	30	24	514	-	0	0	-	-	-	1	10	-	37						
N.Y. (Upstate)	5	12	37	81	163	-	0	1	-	1	-	0	3	2	2						
N.Y. City	-	7	20	93	247	-	0	0	-	-	-	0	3	3	6						
Pa.	1	1	7	23	49	-	0	1	1	1	-	0	5	2	14						
E.N. CENTRAL	17	40	114	573	405	-	0	2	-	3	-	3	18	10	43						
Ill.	-	5	17	46	55	-	0	1	-	2	-	1	12	3	24						
Ind.	-	1	17	18	24	-	0	1	-	1	-	1	5	5	10						
Mich.	2	4	14	64	86	-	0	1	-	-	-	0	1	-	-						
Ohio	15	28	103	433	220	-	0	0	-	-	-	0	3	1	5						
Wis.	-	1	13	12	20	-	0	0	-	-	-	0	3	1	4						
W.N. CENTRAL	3	8	32	67	103	-	0	5	-	2	2	3	35	11	112						
Iowa	-	2	11	17	5	-	0	0	-	-	-	0	1	1	4						
Kans.	-	1	6	11	60	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	1	7	14	31	-	0	5	-	2	2	3	35	10	107						
Nebr.	3	2	22	18	5	-	0	1	-	-	-	0	1	-	1						
N. Dak.	-	0	2	5	1	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	3	2	1	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	22	49	98	408	983	-	2	8	21	29	4	14	145	48	86						
Del.	-	0	4	2	1	-	0	0	-	-	-	0	2	3	8						
D.C.	-	0	3	-	10	-	0	0	-	-	-	0	1	-	-						
Fla.	14	22	66	139	583	-	0	1	1	-	1	0	3	5	7						
Ga.	8	12	20	161	232	-	1	8	19	23	-	0	0	-	-						
Md.	-	3	14	23	81	-	0	0	-	-	-	0	2	5	2						
N.C.	-	2	10	40	36	-	0	4	-	-	-	0	133	7	20						
S.C.	-	1	5	25	10	-	0	1	1	3	-	0	6	5	5						
Va.	-	1	6	17	28	-	0	1	-	3	3	4	36	23	44						
W. Va.	-	0	3	1	2	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	-	18	41	152	456	-	0	2	-	1	-	9	56	35	120						
Ala.	-	5	20	58	121	-	0	1	-	1	-	2	13	10	21						
Ky.	-	4	21	20	174	-	0	1	-	-	-	0	7	5	4						
Miss.	-	4	13	49	96	-	0	2	-	-	-	0	3	-	4						
Tenn.	-	3	9	25	65	-	0	1	-	-	-	6	49	20	91						
W.S. CENTRAL	11	47	137	408	767	-	0	3	-	1	-	9	73	8	108						
Ark.	-	2	7	42	17	-	0	3	-	1	-	8	64	7	62						
La.	2	4	10	56	65	-	0	0	-	-	-	0	2	-	2						
Okla.	3	7	39	60	151	-	0	1	-	-	-	0	26	-	20						
Tex.	6	31	96	250	534	-	0	1	-	-	-	0	8	1	24						
MOUNTAIN	2	13	34	71	122	-	0	1	1	8	-	0	5	2	26						
Ariz.	1	8	21	37	87	-	0	1	1	8	-	0	3	2	21						
Colo.	-	1	19	4	10	-	0	1	-	-	-	0	1	-	-						
Idaho	1	0	2	2	2	-	0	0	-	-	-	0	1	-	2						
Mont.	-	0	2	-	3	-	0	0	-	-	-	0	1	-	-						
Nev.	-	1	9	13	1	-	0	0	-	-	-	0	0	-	-						
N. Mex.	-	1	10	7	12	-	0	0	-	-	-	0	1	-	-						
Utah	-	0	4	7	7	-	0	0	-	-	-	0	1	-	3						
Wyo.	-	0	3	1	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	16	15	42	172	201	-	0	2	-	-	-	0	2	1	4						
Alaska	-	0	1	-	5	N	0	0	N	N	N	0	0	N	N						
Calif.	8	11	33	111	145	-	0	2	-	-	-	0	1	1	4						
Hawaii	-	0	6	21	5	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	10	16	23	-	0	0	-	-	-	0	1	-	-						
Wash.	8	1	19	24	23	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	1	3	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	N	-	-	N	N	N	-	-	N	N						
P.R.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
