
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending May 4, 2013 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	154	274	818	6,616	6,648	14	23	49	420	501	83	303	388	4,409	5,001						
NEW ENGLAND	3	11	55	248	298	-	1	4	12	28	8	8	16	146	169						
Conn.	-	5	21	122	145	-	0	2	5	8	-	0	4	7	26						
Maine	-	2	8	54	44	-	0	1	3	1	-	0	5	2	7						
Mass.	-	0	4	5	21	-	0	3	3	14	7	6	15	114	100						
N.H.	-	1	5	35	39	-	0	1	1	4	-	0	4	9	13						
R.I.	-	0	29	1	25	-	0	0	-	1	1	0	4	12	21						
Vt.	3	1	6	31	24	-	0	0	-	-	-	0	2	2	2						
MID. ATLANTIC	29	39	83	739	973	1	2	6	35	41	11	37	59	623	619						
N.J.	-	6	27	8	274	-	0	3	-	14	-	4	10	43	72						
N.Y. (Upstate)	29	16	39	398	400	1	1	4	23	19	4	4	32	91	62						
N.Y. City	-	14	36	333	299	-	0	3	12	8	3	20	32	328	321						
Pa.	N	-	-	N	N	N	0	0	N	N	4	9	19	161	164						
E.N. CENTRAL	60	57	132	1,410	1,369	4	4	9	65	103	2	30	60	399	595						
Ill.	N	0	0	N	N	-	1	3	16	20	-	11	23	123	276						
Ind.	-	13	49	254	304	-	0	3	8	13	2	4	10	66	73						
Mich.	6	13	30	320	286	-	0	3	17	22	-	5	14	82	99						
