
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 18, 2013 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012

tab delimited data:
test
UNITED STATES	5	7	69	43	146	5	24	114	49	519	-	2	23	6	47						
NEW ENGLAND	1	0	4	5	3	1	4	23	11	120	-	0	0	-	-						
Conn.	-	0	0	-	-	-	0	11	1	67	-	0	0	-	-						
Maine	-	0	1	-	-	1	0	4	6	14	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	1	1	-	-	0	4	2	16	-	0	0	-	-						
R.I.	1	0	3	3	3	-	1	11	2	19	-	0	0	-	-						
Vt.	-	0	1	1	-	-	0	1	-	4	-	0	0	-	-						
MID. ATLANTIC	-	1	28	3	24	3	6	53	13	93	-	0	7	2	2						
N.J.	-	0	6	-	16	-	1	9	-	36	-	0	1	-	-						
N.Y. (Upstate)	-	0	28	1	4	3	3	52	11	49	-	0	5	1	1						
N.Y. City	-	0	3	2	3	-	0	4	2	7	-	0	1	1	-						
Pa.	-	0	1	-	1	-	0	2	-	1	-	0	2	-	1						
E.N. CENTRAL	-	0	5	2	13	1	4	42	14	173	-	1	15	4	28						
Ill.	-	0	4	1	9	-	0	1	1	4	-	0	1	-	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	7	2	9						
Mich.	-	0	1	-	-	-	0	0	-	-	-	0	2	1	3						
Ohio	-	0	1	1	-	1	0	1	2	-	-	0	1	-	-						
Wis.	-	0	3	-	4	-	4	42	11	169	-	0	6	1	16						
W.N. CENTRAL	2	1	21	5	44	-	3	43	-	117	-	0	5	-	7						
