
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 12, 2013 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2013
Chlamydia trachomatis infection cummulative for 2012
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2013
Coccidioidomycosis cummulative for 2012
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2013
Cryptosporidiosis cummulative for 2012

tab delimited data:
test
UNITED STATES	11,469	27,166	30,272	23,705	50,242	4	293	551	19	838	23	125	278	65	197						
NEW ENGLAND	684	948	1,349	1,095	1,325	-	0	1	-	-	-	7	19	1	12						
Conn.	-	243	567	13	202	N	0	0	N	N	-	1	3	-	3						
Maine	-	63	101	-	93	N	0	0	N	N	-	1	4	-	2						
Mass.	545	459	706	856	768	-	0	0	-	-	-	3	8	-	5						
N.H.	20	60	83	48	121	-	0	1	-	-	-	1	4	-	2						
R.I.	77	84	186	124	141	-	0	1	-	-	-	0	3	-	-						
Vt.	42	27	87	54	-	N	0	0	N	N	-	1	6	1	-						
MID. ATLANTIC	2,053	3,863	4,335	3,963	6,673	-	0	1	-	-	3	12	41	9	17						
N.J.	186	548	640	499	1,134	N	0	0	N	N	-	0	4	-	2						
N.Y. (Upstate)	399	722	1,199	496	645	N	0	0	N	N	-	2	18	-	2						
N.Y. City	487	1,130	1,320	1,237	2,371	N	0	0	N	N	-	2	8	-	3						
Pa.	981	1,500	1,817	1,731	2,523	-	0	1	-	-	3	7	21	9	10						
E.N. CENTRAL	886	4,137	4,677	2,132	8,186	-	1	4	-	1	6	29	108	15	54						
Ill.	35	1,126	1,508	206	2,466	N	0	0	N	N	-	3	8	-	4						
Ind.	225	575	838	428	983	N	0	0	N	N	-	3	8	-	5						
Mich.	355	927	1,207	675	1,769	-	0	3	-	-	1	5	40	1	11						
Ohio	271	1,033	1,189	733	2,041	-	0	2	-	1	5	10	28	11	23						
Wis.	-	467	551	90	927	-	0	0	-	-	-	9	41	3	11						
W.N. CENTRAL	386	1,562	1,808	889	3,381	-	2	8	-	1	1	16	41	2	15						
Iowa	13	215	274	84	605	N	0	0	N	N	1	5	22	1	6						
Kans.	74	209	309	140	575	N	0	0	N	N	-	1	4	-	1						
Minn.	-	314	381	-	671	-	2	7	-	1	-	0	0	-	-						
Mo.	184	548	657	440	1,047	-	0	1	-	-	-	4	12	1	2						
Nebr.	115	133	192	225	227	-	0	1	-	-	-	2	10	-	2						
N. Dak.	-	52	73	-	97	-	0	0	-	-	-	0	3	-	1						
S. Dak.	-	73	106	-	159	N	0	0	N	N	-	2	6	-	3						
S. ATLANTIC	2,765	5,318	6,345	5,653	10,954	-	0	1	-	-	10	20	59	25	41						
Del.	132	81	322	269	96	-	0	1	-	-	-	0	4	-	1						
D.C.	-	133	239	95	299	-	0	0	-	-	N	0	0	N	N						
Fla.	965	1,509	1,728	1,930	2,671	N	0	0	N	N	9	9	24	14	15						
Ga.	687	959	1,230	1,217	1,762	N	0	0	N	N	-	5	15	3	8						
Md.	-	414	1,139	219	519	-	0	1	-	-	-	1	4	3	9						
N.C.	-	889	1,572	-	3,097	N	0	0	N	N	-	0	29	-	-						
S.C.	-	527	908	367	937	N	0	0	N	N	1	1	4	3	5						
Va.	888	656	903	1,393	1,448	N	0	0	N	N	-	3	6	2	3						
W. Va.	93	89	149	163	125	N	0	0	N	N	-	0	1	-	-						
E.S. CENTRAL	469	1,996	2,647	1,003	3,536	-	0	0	-	-	-	5	14	5	12						
Ala.	-	592	862	-	884	N	0	0	N	N	-	2	6	5	7						
Ky.	170	328	787	372	336	N	0	0	N	N	-	1	4	-	-						
Miss.	299	425	792	631	973	N	0	0	N	N	-	0	4	-	2						
Tenn.	-	638	827	-	1,343	N	0	0	N	N	-	1	5	-	3						
W.S. CENTRAL	2,560	3,259	4,356	5,139	5,216	-	0	1	-	-	1	9	20	2	9						
Ark.	270	327	412	588	596	N	0	0	N	N	-	1	5	-	1						
La.	317	411	1,316	505	36	-	0	1	-	-	-	2	7	-	4						
Okla.	-	80	201	9	107	N	0	0	N	N	1	1	6	1	-						
Tex.	1,973	2,465	3,381	4,037	4,477	N	0	0	N	N	-	4	14	1	4						
MOUNTAIN	860	1,788	2,071	1,796	2,971	-	215	440	1	576	1	11	44	4	19						
Ariz.	-	598	872	158	1,141	-	211	438	1	572	-	1	3	1	-						
