
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending January 12, 2013 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	225	252	455	505	812	10	21	33	18	46	75	280	353	149	499						
NEW ENGLAND	4	11	23	18	40	-	1	4	-	-	3	8	18	5	21						
Conn.	-	5	13	9	17	-	0	2	-	-	-	0	5	-	6						
Maine	2	2	7	6	9	-	0	1	-	-	-	0	5	-	-						
Mass.	-	1	3	-	-	-	0	2	-	-	2	6	13	3	12						
N.H.	1	1	5	1	5	-	0	1	-	-	1	1	4	1	2						
R.I.	-	0	5	-	2	-	0	1	-	-	-	0	6	1	1						
Vt.	1	1	4	2	7	-	0	0	-	-	-	0	1	-	-						
MID. ATLANTIC	15	35	70	47	105	-	1	5	-	5	13	35	49	20	61						
N.J.	-	6	24	1	32	-	0	3	-	3	-	4	8	-	9						
N.Y. (Upstate)	-	16	35	-	33	-	1	3	-	-	5	4	12	6	6						
N.Y. City	15	13	31	46	40	-	0	3	-	2	3	18	29	7	30						
Pa.	N	0	0	N	N	N	0	0	N	N	5	9	17	7	16						
E.N. CENTRAL	68	55	99	150	181	1	3	10	3	10	-	30	49	5	51						
Ill.	N	0	0	N	N	-	0	0	-	-	-	11	26	-	20						
