
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2013 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2013
Shigellosis cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012

tab delimited data:
test
UNITED STATES	72	261	397	247	661	-	3	10	-	6	2	51	228	12	36						
NEW ENGLAND	-	4	12	5	8	-	0	1	-	-	-	0	3	-	-						
Conn.	-	1	3	2	2	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	4	-	-	-	0	0	-	-	-	0	1	-	-						
Mass.	-	2	9	2	6	-	0	0	-	-	-	0	3	-	-						
N.H.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	5	-	-	-	0	0	-	-	-	0	1	-	-						
Vt.	-	0	1	1	-	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	2	41	87	14	187	-	0	2	-	1	-	1	5	1	6						
N.J.	-	13	47	-	125	-	0	0	-	-	-	0	1	-	-						
N.Y. (Upstate)	-	13	37	-	6	-	0	1	-	-	-	0	3	-	-						
N.Y. City	-	10	21	12	47	-	0	0	-	-	-	0	3	-	1						
Pa.	2	2	6	2	9	-	0	2	-	1	-	1	4	1	5						
E.N. CENTRAL	30	35	118	102	111	-	0	2	-	1	1	4	15	3	4						
Ill.	-	5	16	1	12	-	0	1	-	-	-	2	12	-	3						
Ind.	-	1	17	-	7	-	0	1	-	1	1	1	5	2	-						
Mich.	2	4	14	9	21	-	0	0	-	-	-	0	1	-	-						
Ohio	28	21	103	90	67	-	0	0	-	-	-	0	3	1	1						
Wis.	-	2	17	2	4	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	2	9	32	9	22	-	0	6	-	-	-	5	33	-	4						
Iowa	1	1	11	3	1	-	0	0	-	-	-	0	1	-	-						
Kans.	-	2	9	-	11	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	1	7	-	9	-	0	5	-	-	-	5	33	-	4						
Nebr.	1	1	22	6	1	-	0	1	-	-	-	0	1	-	-						
N. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	17	54	101	36	113	-	1	9	-	1	1	13	146	4	11						
Del.	-	0	4	-	-	-	0	0	-	-	-	0	2	-	1						
D.C.	-	0	3	-	1	-	0	0	-	-	-	0	1	-	-						
Fla.	8	31	66	19	66	-	0	1	-	-	1	0	3	1	1						
Ga.	8	13	21	13	34	-	1	5	-	1	-	0	0	-	-						
Md.	-	4	16	1	5	-	0	1	-	-	-	0	3	-	1						
N.C.	1	2	10	3	4	-	0	4	-	-	-	1	133	-	3						
S.C.	-	1	2	-	2	-	0	1	-	-	-	1	6	1	-						
Va.	-	1	6	-	1	-	0	2	-	-	-	4	35	2	5						
W. Va.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	-	21	42	10	81	-	0	3	-	-	-	12	57	4	4						
Ala.	-	6	20	6	27	-	0	1	-	-	-	2	12	-	1						
Ky.	-	5	21	-	30	-	0	1	-	-	-	0	7	-	-						
Miss.	-	5	13	3	17	-	0	2	-	-	-	0	4	-	-						
Tenn.	-	4	9	1	7	-	0	1	-	-	-	10	49	4	3						
W.S. CENTRAL	17	46	81	33	75	-	0	1	-	-	-	11	72	-	1						
Ark.	4	1	7	5	1	-	0	1	-	-	-	8	65	-	-						
La.	-	4	10	2	13	-	0	0	-	-	-	0	2	-	1						
Okla.	7	7	27	12	13	-	0	1	-	-	-	0	26	-	-						
Tex.	6	31	59	14	48	-	0	1	-	-	-	0	4	-	-						
MOUNTAIN	-	11	32	1	18	-	0	2	-	3	-	0	5	-	5						
Ariz.	-	5	15	-	11	-	0	2	-	3	-	0	3	-	4						
Colo.	-	2	19	1	1	-	0	1	-	-	-	0	1	-	-						
Idaho	-	0	2	-	-	-	0	0	-	-	-	0	2	-	-						
Mont.	-	0	2	-	1	-	0	0	-	-	-	0	1	-	-						
Nev.	-	0	8	-	1	-	0	0	-	-	-	0	0	-	-						
N. Mex.	-	1	7	-	3	-	0	0	-	-	-	0	1	-	-						
Utah	-	0	4	-	1	-	0	0	-	-	-	0	1	-	1						
Wyo.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	4	21	57	37	46	-	0	2	-	-	-	0	1	-	1						
Alaska	-	0	2	-	2	N	0	0	N	N	N	0	0	N	N						
Calif.	2	15	57	34	39	-	0	2	-	-	-	0	1	-	1						
Hawaii	-	0	3	-	-	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	10	-	5	-	0	0	-	-	-	0	1	-	-						
Wash.	2	1	19	3	-	-	0	0	-	-	-	0	0	-	-						
