
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending February 16, 2013 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	236	259	612	2,561	2,577	17	20	39	115	167	53	290	368	1,253	1,902						
NEW ENGLAND	4	11	28	103	111	-	1	4	1	8	4	8	18	42	62						
Conn.	-	5	21	54	53	-	0	2	-	3	-	0	4	2	14						
Maine	3	2	8	23	18	-	0	1	-	1	-	0	5	-	-						
Mass.	-	0	3	1	5	-	0	2	1	3	1	6	13	30	39						
N.H.	-	1	5	10	16	-	0	1	-	1	-	1	4	3	4						
R.I.	-	0	6	-	8	-	0	1	-	-	3	0	6	5	5						
Vt.	1	1	6	15	11	-	0	0	-	-	-	0	2	2	-						
MID. ATLANTIC	32	37	64	341	380	3	2	5	14	21	15	39	61	173	268						
N.J.	-	5	24	2	127	-	0	3	-	8	-	4	8	2	25						
N.Y. (Upstate)	22	17	40	190	140	3	1	3	9	8	10	4	16	33	14						
N.Y. City	10	14	35	149	113	-	0	3	5	5	-	18	29	71	123						
Pa.	N	0	0	N	N	N	0	0	N	N	5	14	25	67	106						
E.N. CENTRAL	43	55	127	565	517	2	3	10	13	21	-	28	48	68	203						
Ill.	N	0	0	N	N	-	0	0	-	-	-	10	18	5	87						
Ind.	-	13	36	74	123	-	1	2	-	3	-	4	10	15	27						
Mich.	4	11	28	117	112	1	0	3	5	6	-	4	13	13	35						
Ohio	36	21	63	277	200	1	1	6	6	7	-	7	15	24	45						
Wis.	3	9	29	97	82	-	0	2	2	5	-	2	5	11	9						
W.N. CENTRAL	3	12	24	47	133	-	1	3	4	11	-	7	14	24	48						
Iowa	N	0	0	N	N	N	0	0	N	N	-	1	4	5	5						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	4	1	3						
Minn.	-	9	22	-	83	-	0	3	-	5	-	2	5	-	11						
Mo.	N	0	0	N	N	-	0	0	-	-	-	2	7	12	27						
Nebr.	2	2	8	26	31	-	0	2	3	1	-	0	2	4	1						
N. Dak.	-	0	4	-	2	-	0	1	-	-	-	0	1	-	1						
S. Dak.	1	2	6	21	17	-	0	2	1	5	-	0	2	2	-						
S. ATLANTIC	59	58	120	609	583	7	4	11	37	45	17	65	104	289	456						
Del.	1	0	3	3	7	-	0	1	-	-	1	0	6	3	7						
D.C.	-	0	4	-	8	-	0	1	-	1	-	3	10	23	27						
Fla.	27	18	59	243	200	2	1	6	14	15	-	25	36	122	182						
Ga.	21	15	44	168	167	4	1	4	12	9	12	11	31	47	78						
Md.	9	6	25	81	79	1	0	5	3	5	-	8	15	41	44						
