
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending March 2, 2013 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2013
Shigellosis cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012

tab delimited data:
test
UNITED STATES	69	260	403	991	2,017	-	4	12	15	16	2	52	230	49	135						
NEW ENGLAND	-	4	13	23	18	-	0	1	-	-	-	0	3	-	-						
Conn.	-	1	3	3	6	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	4	-	-	-	0	0	-	-	-	0	2	-	-						
Mass.	-	2	10	17	12	-	0	0	-	-	-	0	3	-	-						
N.H.	-	0	1	1	-	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	5	-	-	-	0	0	-	-	-	0	3	-	-						
Vt.	-	0	1	2	-	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	6	37	73	103	533	-	0	2	1	4	-	1	5	3	12						
N.J.	-	9	35	-	307	-	0	0	-	-	-	0	1	-	-						
N.Y. (Upstate)	3	13	37	41	95	-	0	1	-	-	-	0	3	-	1						
N.Y. City	2	9	21	51	112	-	0	0	-	-	-	0	3	1	3						
Pa.	1	2	6	11	19	-	0	2	1	4	-	1	4	2	8						
E.N. CENTRAL	25	39	120	322	235	-	0	2	-	1	-	4	17	4	13						
Ill.	-	5	16	2	22	-	0	1	-	-	-	2	12	-	4						
Ind.	-	1	17	9	12	-	0	1	-	1	-	1	5	3	2						
Mich.	-	4	14	31	50	-	0	1	-	-	-	0	1	-	-						
Ohio	25	28	103	273	141	-	0	0	-	-	-	0	3	1	3						
Wis.	-	2	18	7	10	-	0	0	-	-	-	0	3	-	4						
W.N. CENTRAL	-	8	32	28	60	-	0	6	-	1	-	6	33	-	10						
Iowa	-	1	11	6	4	-	0	0	-	-	-	0	1	-	-						
Kans.	-	2	6	5	31	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	1	7	5	21	-	0	5	-	1	-	6	33	-	10						
Nebr.	-	2	22	9	3	-	0	1	-	-	-	0	1	-	-						
N. Dak.	-	0	1	3	1	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	15	54	102	168	402	-	2	9	14	6	2	14	147	29	38						
Del.	-	0	4	1	-	-	0	0	-	-	-	0	2	2	4						
D.C.	-	0	3	-	6	-	0	0	-	-	-	0	1	-	-						
Fla.	6	30	66	59	218	-	0	1	-	-	-	0	3	1	3						
Ga.	1	12	21	62	114	-	1	5	13	5	-	0	0	-	-						
Md.	4	5	16	12	31	-	0	0	-	-	-	0	3	4	4						
N.C.	4	2	10	15	16	-	0	4	-	-	-	0	133	5	5						
S.C.	-	1	3	9	4	-	0	1	1	1	-	1	6	4	2						
Va.	-	1	6	9	12	-	0	2	-	-	2	4	35	13	20						
W. Va.	-	0	3	1	1	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	5	20	41	68	275	-	0	2	-	-	-	12	57	13	18						
Ala.	5	5	20	24	63	-	0	1	-	-	-	3	13	2	6						
Ky.	-	5	21	14	116	-	0	1	-	-	-	1	7	2	1						
Miss.	-	4	13	22	63	-	0	2	-	-	-	0	4	-	-						
Tenn.	-	3	9	8	33	-	0	1	-	-	-	10	49	9	11						
W.S. CENTRAL	13	45	91	182	348	-	0	1	-	-	-	11	73	-	25						
Ark.	1	2	7	15	9	-	0	1	-	-	-	8	65	-	15						
La.	-	3	10	18	40	-	0	0	-	-	-	0	2	-	1						
Okla.	3	7	27	29	70	-	0	1	-	-	-	0	26	-	1						
Tex.	9	32	89	120	229	-	0	1	-	-	-	1	5	-	8						
MOUNTAIN	3	11	32	38	54	-	0	1	-	4	-	0	4	-	16						
Ariz.	-	6	15	18	31	-	0	1	-	4	-	0	2	-	12						
Colo.	-	2	19	3	4	-	0	1	-	-	-	0	1	-	-						
